codigo;descripcion;precio;stock
NM-A501AG00024;5.00-15-4PR-CEAT-FARMAX-TT;$ 168.068;10
NM-A501AG00013;6.00-16 CEAT FARMAX 6PR TT;$ 241.685;5
NM-A501AG00012;6.50-16 CEAT FARMAX 6PR TT;$ 255.523;8
NM-A500AG00047;7.50-16 CEAT FARMAX 8PR TT;$ 385.214;4
NM-A101AG00009;10.00-16 CORVEN AGR 8PR TT 3 GUIAS;$ 549.555;2
NM-A101AG00005;11.00-16 CORVEN AGR 8PR TT 3 GUIAS;$ 657.524;58
NM-A501AG00021;10.00-16 8PR FARMAX M TT   4 GUIAS;$ 582.399;1
NM-A501AG00022;11.00-16 12PR FARMAX M TL  4 GUIAS;$ 741.335;5
NM-A500AG00046;7.50-18 CEAT FARMAX 8PR TT;$ 381.467;2
NM-A501AG00025;6.50-20 8PR FARMAX X3 TF TT;$ 453.935;2
NM-A500AG00045;7.50-20 CEAT FARMAX 8PR TT;$ 438.578;0
NM-A501AG00014;9.5-24 CEAT FARMAX R1 8PR TL;$ 595.616;0
NM-A501AG00004;11.2-24 CEAT FARMAX 8PR TT;$ 781.216;0
NM-A101AG00011;12.4-24 CORVEN AGR 8PR TT;$ 850.238;0
NM-A501AG00030;13.6-24-8PR-CEAT-FARMAX-TT;$ 1.053.962;10
NM-A101AG00006;14.9-24 CORVEN AGR 8PR TT;$ 1.074.989;5
NM-A501AG00023;14.9-24 6PR IRROGATOR TL (PIVOT);$ 1.096.761;8
NM-A101AG00007;16.9-24 CORVEN AGR 8PR TT;$ 1.465.263;4
NM-A501AG00027;14.9-26-12PR-CEAT-FARMAX-R1-TL;$ 1.402.816;2
NM-A101AG00008;18.4-26 CORVEN AGR 12PR TT;$ 2.090.234;58
NM-A501AG00011;11.2-28 CEAT FARMAX 8PR TT;$ 787.382;1
NM-A501AG00009;12.4-28 CEAT FARMAX 8PR TT;$ 1.079.667;5
NM-A501AG00006;13.6-28 CEAT FARMAX 8PR TT;$ 1.245.473;2
NM-A501AG00003;14.9-28 CEAT FARMAX R1 12PR TL;$ 1.422.847;2
NM-A101AG00010;16.9-28 CORVEN AGR 12PR TT;$ 1.683.766;0
NM-A501AG00010;14.9-30 CEAT FARMAX R1 8PR TT;$ 1.612.946;0
NM-A501AG00007;16.9-30 CEAT FARMAX 12PR TL;$ 1.956.897;0
NM-A501AG00005;18.4-30 CEAT FARMAX 12PR TT;$ 2.092.215;0
NM-A501AG00018;23.1-30 CEAT FARMAX R1 12PR TL;$ 3.657.041;10
NM-A501AG00019;24.5-32 CEAT YIELDMAX 23˚ 12PR TL;$ 4.522.075;5
NM-A501AG00020;30.5L-32 CEAT YIELDMAX 23˚ 14PR TL;$ 6.632.377;8
NM-A101AG00001;18.4-34 CORVEN AGR 14PR TT;$ 2.331.984;4
NM-A101AG00003;12.4-36 CORVEN AGR 12PR TT;$ 1.305.318;2
NM-A501AG00028;12.4-38-8PR-CEAT-FARMAX-R1-TT;$ 1.356.923;58
NM-A501AG00029;13.6-38-14PR-CEAT-FARMAX-R1-TT;$ 1.466.436;1
NM-A501AG00016;15.5-38 CEAT FARMAX 8PR TL;$ 2.012.808;5
NM-A101AG00004;18.4-38 CORVEN AGR 12PR TT;$ 2.439.662;2
NM-A501AG00017;20.8-38 CEAT FARMAX 10PR TT;$ 4.076.900;2
NM-A500AG00024;340/85R24 CEAT FARMAX R85 (13.6R24)125A8/B TL;$ 2.098.735;0
NM-A500AG00040;420/70R24 CEAT FARMAX R70 130D TL;$ 2.160.547;0
NM-A500AG00030;750/65R26 CEAT YIELDMAX 173A8/170B TL;$ 6.101.426;0
NM-A500AG00025;320/85R28 CEAT FARMAX R85 (12.4R28)124A8/B TL;$ 1.622.107;0
NM-A500AG00026;340/85R28 CEAT FARMAX R85 (13.6R28)127A8/B TL;$ 1.807.087;10
NM-A500AG00018;380/70R28 CEAT FARMAX R70 127A8/B TL;$ 2.006.845;5
NM-A500AG00017;380/85R28 CEAT FARMAX R85 (14.9R28)133A8/B TL;$ 2.107.104;8
NM-A500AG00019;420/85R28 CEAT FARMAX R85 (16.9R28) 139A8/B TL;$ 2.934.334;4
NM-A500AG00022;600/65R28 CEAT FARMAX R65 147D/150A8 TL;$ 4.322.873;2
NM-A500AG00023;380/85R30 CEAT FARMAX R85 (14.9R30)135A8/B TL;$ 2.475.616;58
NM-A500AG00010;420/85R30 CEAT FARMAX R85 (16.9R30) 147A8/B TL;$ 2.960.596;1
NM-A500AG00009;420/90R30 CEAT FARMAX R90 147A8/B TL;$ 3.239.370;5
NM-A500AG00012;460/85R30 CEAT FARMAX R85 (18.4R30)145A8/B TL;$ 3.267.739;2
NM-A500AG00015;480/70R30 CEAT FARMAX R70 141A8/B TL;$ 3.263.691;2
NM-A500AG00014;540/65R30 CEAT FARMAX R65 150D TL;$ 3.918.252;0
NM-A500AG00043;650/75R32 CEAT YIELDMAX (24.5-32)172A8 TL;$ 7.201.823;0
NM-A500AG00013;800/65R32 CEAT YIELDMAX 181A8/B TL;$ 8.476.221;0
NM-A500AG00003;460/85R34 CEAT FARMAX R85 (18.4R34)147A8/B TL;$ 3.547.226;0
NM-A500AG00027;600/65R34 CEAT FARMAX R65 157D TL;$ 5.263.541;10
NM-A500AG00038;320/85R36 CEAT FARMAX R85 (12.4R36)128D/131A8 TL;$ 2.227.541;5
NM-A500AG00039;320/85R38 CEAT FARMAX R85 (12.4R38)143D/146A8 TL;$ 2.411.773;8
NM-A500AG00011;340/85R38 CEAT FARMAX R85 (13.6R38)151A8/B TL;$ 2.563.782;4
NM-A500AG00002;460/85R38 CEAT FARMAX R85 (18.4R38)167A8/B TL;$ 4.155.754;2
NM-A500AG00008;520/85R38 CEAT FARMAX R85 (20.8R38)155A8/B TL;$ 4.838.711;58
NM-A500AG00029;520/85R38 CEAT FARMAX R85 (20.8R38)169A8/B TL;$ 5.564.518;1
NM-A500AG00031;650/85R38 CEAT FARMAX HPT 173D/176A8 TL;$ 9.613.484;5
NM-A500AG00016;710/70R38 CEAT FARMAX R70 172A8/B TL;$ 7.822.341;2
NM-A500AG00020;520/85R42 CEAT FARMAX R85 (20.8R42)157A8/B TL;$ 5.981.790;2
NM-A500AG00004;520/85R42 CEAT FARMAX R85 (20.8R42)169A8/B TL;$ 6.011.855;0
NM-A500AG00028;710/70R42 CEAT FARMAX R70 173A8/B TL;$ 8.696.603;0
NM-A500AG00048;230/95R32-CEAT-FARMAX-RC (9.5R32)128D/131A8-TL;$ 1.127.387;0
NM-A500AG00041;230/95R36 CEAT FARMAX RC (9.5R36)130D/133A8 TL;$ 1.406.868;0
NM-A500AG00049;230/95R44-CEAT-FARMAX-RC (9.5R44)134D-TL;$ 1.513.934;10
NM-A500AG00006;300/95R46 CEAT FARMAX RC (11.2R46)148D/151A8 TL;$ 2.028.395;5
NM-A500AG00032;320/90R46 CEAT FARMAX RC (12.4R46)146D/149A8 TL;$ 2.569.929;8
NM-A500AG00001;380/90R46 CEAT FARMAX RC (14.9R46)165A8/B TL;$ 3.822.434;4
NM-A500AG00034;VF-380/90R46-CEAT-SPRAYMAX-173D-TL;$ 4.247.257;2
NM-A500AG00050;230/95R48-CEAT-FARMAX-RC (9.5R48)136D/139A8-TL;$ 1.609.836;58
NM-A500AG00042;320/90R50CEAT  FARMAX RC (12.4R50)150D TL;$ 3.182.201;1
NM-A101AG00014;11L-15 CORVEN AGR 12PR TL;$ 424.926;5
NM-A101AG00002;400/60-15.5 CORVEN AGR 18PR TL;$ 784.371;2
NM-A501AG00026;400/55-22.5-18PR-CEAT-T422-VALUE PRO-TL;$ 1.268.122;2
NM-A501AG00001;500/60-22.5 CEAT FLOAT T422 16PR TL;$ 2.120.775;0
NM-A501AG00015;600/55-26.5 CEAT FLOAT T422 16PR TL;$ 3.316.121;0
NM-A500AG00007;500/60R22.5 CEAT FLOATM 60 155D TL;$ 2.484.744;0
NM-A500AG00021;560/45R22.5 CEAT FLOATM 45 152D TL;$ 2.615.520;0
NM-A500AG00005;600/50R22.5 CEAT FLOATM 50 159D TL;$ 3.400.176;10
NM-A501IND0001;10-16.5-10PR-CEAT-LOADERPRO-TL;$ 510.717;5
NM-A501IND0002;12-16,5 CEAT LOADER PRO 12PR TL;$ 692.489;8
NM-A501IND0007;12-16.5 GRIP X HD 14PR TL  ESP. ASFALTO;$ 1.071.876;4
NM-A501IND0006;10-16.5 GRIP X HD 12PR TL  ESP. ASFALTO;$ 766.884;2
NM-A501IND0003;14-17.5 CEAT LOADER PRO HD 14PR TL;$ 1.336.322;58
NM-A501IND0008;405/70-20 (16.0/70-20) 18PR MPT 808 TL;$ 1.652.536;1
NM-A501AG00002;23.1-26 CEAT C305 DUAL BEAD 18PR TL;$ 4.029.472;5
NM-A101IND00001;12.5/80-18 CORVEN IDR 14PR TL;$ 967.490;2
NM-A501IND0004;15.5/80-24  CEAT LIFTPRO 16 PR TL;$ 1.792.082;2
NM-A501IND0005;460/70R24-CEAT-LOADERPRO-(17.5LR24)159A8/B-TL;$ 2.630.843;0
NM-A101IND00002;19.5L-24 CORVEN CTN 12PR TL;$ 1.780.069;0
NM-A501OTR00007;13.00-24 CEAT GRADER XL G2/L2 16PR TL;$ 1.569.373;0
NM-A501OTR00005;14.00-24 CEAT GRADER XL G2/L2 16PR TL;$ 1.723.612;0
NM-A501OTR00004;17.5-25 CEAT GRADER XL G2/L2  16PR  TL;$ 1.926.069;10
NM-A501OTR00009;17.5-25 CEAR GRADER XL G2/L2  24PR  TL;$ 2.627.732;5
